id,name,roll_number,age,std_class
10,John Doe,127,20,10
11,Jane Doe,128,21,11
12,John Smith,129,22,12
13,Jane Smith,130,23,13
14,Student 1,RN100,18,9
15,Student 2,RN101,19,10
16,Student 3,RN102,20,11
17,Student 4,RN103,21,12
18,Student 5,RN104,22,9
19,Student 6,RN105,18,10
20,Student 7,RN106,19,11
21,Student 8,RN107,20,12
22,Student 9,RN108,21,9
23,Student 10,RN109,22,10
24,Student 11,RN110,18,11
25,Student 12,RN111,19,12
26,Student 13,RN112,20,9
27,Student 14,RN113,21,10
28,Student 15,RN114,22,11
29,Student 16,RN115,18,12
30,Student 17,RN116,19,9
31,Student 18,RN117,20,10
32,Student 19,RN118,21,11
33,Student 20,RN119,22,12
34,Student 21,RN120,18,9
35,Student 22,RN121,19,10
36,Student 23,RN122,20,11
37,Student 24,RN123,21,12
38,Student 25,RN124,22,9
39,Student 26,RN125,18,10
40,Student 27,RN126,19,11
41,Student 28,RN127,20,12
42,Student 29,RN128,21,9
43,Student 30,RN129,22,10
44,Student 31,RN130,18,11
45,Student 32,RN131,19,12
46,Student 33,RN132,20,9
47,Student 34,RN133,21,10
48,Student 35,RN134,22,11
49,Student 36,RN135,18,12
50,Student 37,RN136,19,9
51,Student 38,RN137,20,10
52,Student 39,RN138,21,11
53,Student 40,RN139,22,12
54,Student 41,RN140,18,9
55,Student 42,RN141,19,10
56,Student 43,RN142,20,11
57,Student 44,RN143,21,12
58,Student 45,RN144,22,9
59,Student 46,RN145,18,10
60,Student 47,RN146,19,11
61,Student 48,RN147,20,12
62,Student 49,RN148,21,9
63,Student 50,RN149,22,10
